ロケットエンジン最適化計算結果（詳細版）
============================================================

燃料: CH4, 酸化剤: N2O
計算回数: 100
パラメータ範囲:
  燃焼室圧力: 5-15 bar
  混合比: 4.0-7.0
  膨張比: 20-50
  質量流量: 0.1-0.5 kg/s

回数	Pc[bar]	MR		eps		mdot[kg/s]	Isp(vac)[s]	Isp(sl)[s]	C*[m/s]	Tc[K]		γ		Pe[bar]		Cf		推力(vac)[N]	推力(sl)[N]	At[m²]		Ae[m²]		Rt[mm]		Re[mm]
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
35	7.66		5.95		45.87		0.15		295.70		196.16		5173.28		4737		1.200		2.708		0.896		444.49		294.87		0.000030	0.001359	3.07		20.80
36	14.84		5.76		42.34		0.21		293.13		172.80		5163.75		4729		1.200		5.314		0.891		599.83		353.59		0.000040	0.001711	3.59		23.34
37	8.77		5.83		27.08		0.33		288.73		217.60		5164.11		4709		1.200		3.362		0.863		932.43		702.74		0.000064	0.001727	4.51		23.45
38	6.09		5.25		37.66		0.29		285.85		212.59		5080.82		4436		1.200		2.222		0.884		817.23		607.78		0.000057	0.002161	4.27		26.23
39	13.58		4.81		26.29		0.18		275.86		195.83		4991.46		4224		1.200		5.228		0.862		475.41		337.49		0.000035	0.000926	3.35		17.17
40	9.84		6.25		28.42		0.46		293.04		215.68		5202.03		4855		1.200		3.743		0.866		1312.28		965.83		0.000088	0.002495	5.29		28.18
41	14.14		6.43		35.07		0.26		297.00		194.85		5221.65		4944		1.200		5.214		0.879		757.17		496.75		0.000050	0.001746	3.98		23.57
42	8.99		4.74		28.72		0.29		275.71		200.42		4973.16		4163		1.200		3.415		0.867		793.36		576.72		0.000059	0.001695	4.33		23.23
43	14.94		6.66		46.13		0.22		301.80		172.67		5234.79		5008		1.200		5.279		0.896		639.22		365.73		0.000041	0.001903	3.62		24.61
44	8.20		6.16		41.31		0.23		296.48		200.92		5191.21		4808		1.200		2.947		0.890		667.25		452.18		0.000044	0.001826	3.75		24.11
45	8.63		6.76		48.82		0.48		302.87		191.50		5220.67		4956		1.200		3.020		0.900		1433.13		906.15		0.000092	0.004512	5.42		37.90
46	11.25		6.14		39.88		0.12		296.01		189.88		5196.69		4836		1.200		4.066		0.887		357.75		229.49		0.000024	0.000946	2.75		17.35
47	12.48		5.62		35.27		0.19		289.62		190.28		5143.20		4655		1.200		4.596		0.880		549.63		361.11		0.000038	0.001327	3.46		20.55
48	11.50		4.65		46.26		0.25		279.60		159.38		4948.77		4107		1.200		4.061		0.897		692.78		394.92		0.000051	0.002362	4.03		27.42
49	8.38		5.12		28.57		0.44		281.22		208.57		5059.22		4389		1.200		3.185		0.867		1200.70		890.51		0.000086	0.002459	5.23		27.97
50	8.42		4.10		26.06		0.13		263.60		195.85		4770.04		3664		1.200		3.245		0.861		342.92		254.78		0.000028	0.000725	2.98		15.19
51	14.57		4.70		48.21		0.12		280.97		148.01		4964.09		4154		1.200		5.110		0.899		324.08		170.72		0.000024	0.001142	2.75		19.07
52	13.29		4.13		44.18		0.13		270.69		149.62		4779.49		3690		1.200		4.728		0.894		352.39		194.78		0.000028	0.001227	2.97		19.76
53	10.11		4.24		39.76		0.32		271.23		169.32		4820.54		3786		1.200		3.655		0.887		861.51		537.80		0.000067	0.002672	4.62		29.16
54	10.87		5.21		36.00		0.44		284.95		188.23		5077.46		4452		1.200		3.991		0.881		1225.86		809.78		0.000086	0.003110	5.24		31.46
55	11.32		4.29		36.12		0.42		270.97		172.66		4836.65		3826		1.200		4.155		0.881		1119.52		713.33		0.000087	0.003147	5.27		31.65
56	9.11		4.18		25.91		0.39		264.97		195.20		4798.60		3732		1.200		3.514		0.861		1019.04		750.72		0.000082	0.002118	5.10		25.96
57	8.31		6.40		48.33		0.12		300.16		191.78		5206.37		4875		1.200		2.912		0.899		360.18		230.13		0.000024	0.001136	2.74		19.02
58	8.58		4.51		23.88		0.13		269.75		205.96		4908.06		3997		1.200		3.350		0.856		351.04		268.03		0.000027	0.000646	2.93		14.34
59	10.06		6.21		38.08		0.41		296.06		197.73		5199.37		4844		1.200		3.663		0.884		1180.20		788.22		0.000078	0.002977	4.99		30.78
60	14.79		6.21		24.24		0.32		290.85		214.52		5208.00		4887		1.200		5.761		0.857		904.91		667.42		0.000061	0.001477	4.40		21.68
61	14.22		4.85		35.93		0.34		280.00		175.68		5001.98		4254		1.200		5.223		0.881		927.62		582.00		0.000068	0.002427	4.64		27.79
62	5.46		6.64		48.71		0.12		301.87		223.30		5201.91		4873		1.200		1.911		0.900		354.13		261.96		0.000023	0.001120	2.71		18.88
63	7.72		4.52		39.43		0.28		275.77		186.51		4913.19		4007		1.200		2.795		0.887		750.88		507.85		0.000057	0.002229	4.24		26.63
64	8.97		6.58		27.44		0.19		294.99		222.44		5216.44		4925		1.200		3.432		0.864		557.31		420.25		0.000037	0.001013	3.43		17.96
65	12.87		4.54		46.67		0.31		278.08		152.75		4918.13		4031		1.200		4.536		0.897		851.49		467.73		0.000063	0.002963	4.50		30.71
66	13.58		6.87		47.72		0.38		303.53		174.03		5238.62		5038		1.200		4.772		0.899		1135.72		651.15		0.000073	0.003475	4.81		33.26
67	11.74		4.03		27.67		0.28		263.13		182.86		4739.93		3597		1.200		4.484		0.865		734.41		510.38		0.000060	0.001662	4.37		23.00
68	10.07		6.15		35.26		0.36		294.70		202.11		5195.10		4827		1.200		3.709		0.880		1036.47		710.83		0.000069	0.002434	4.69		27.84
69	7.23		4.96		37.82		0.13		282.04		198.85		5026.51		4295		1.200		2.635		0.884		355.39		250.57		0.000026	0.000967	2.85		17.54
70	8.61		5.40		37.27		0.46		287.63		197.12		5107.77		4530		1.200		3.146		0.883		1293.58		886.51		0.000090	0.003346	5.35		32.64
71	8.41		4.70		38.19		0.22		278.29		187.15		4963.76		4137		1.200		3.060		0.885		611.11		410.97		0.000045	0.001723	3.79		23.42
72	6.94		6.37		25.95		0.28		292.70		231.68		5199.80		4845		1.200		2.678		0.861		799.01		632.42		0.000054	0.001389	4.13		21.03
73	5.99		5.21		28.18		0.50		282.15		223.57		5073.30		4414		1.200		2.283		0.866		1373.98		1088.71		0.000098	0.002759	5.58		29.63
74	7.58		6.99		46.16		0.47		303.72		204.35		5219.49		4979		1.200		2.677		0.896		1398.56		940.99		0.000090	0.004152	5.35		36.36
75	5.29		6.16		20.44		0.34		287.89		246.25		5180.88		4760		1.200		2.113		0.846		973.12		832.37		0.000067	0.001360	4.60		20.80
76	8.07		4.72		48.74		0.20		281.11		173.78		4967.94		4146		1.200		2.824		0.900		543.39		335.93		0.000040	0.001934	3.55		24.81
